Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Lost Property,Unknown - Campus Area,5/10/13 2:59 PM,5/8/13 to 5/9/13 10:00 PM to 9:30 AM,Individual reports lost wallet somewhere in the campus area,Closed,C00525
Lost Property,915 E. 60th St. (Logan Arts Center),5/10/13 4:30 PM,3/23/13 to 4/23/13 4:35 PM to 4:40 PM,Abstract painting missing from classroom,Closed,C00526
Void,Void,Void,Void,Number generated in error,Void,C00527
Information,Blackstone between 57th & 58th,5/11/13 8:53 PM,5/10/13 to 5/11/13 9:00 AM to 8:45 AM,Domestic situation,Closed,C00528
Traffic Violation,5900 S. Cornell,5/11/13 2:06 PM,5/11/13 2:06 PM,UCPD officer arrested a motorist for driving an unregistered vehicle without a valid driver's license,Arrest,C00529
Void,Void,Void,Void,Number generated in error,Void,C00530
Assist Other Agency,4800 S. Lake Park,5/11/13 3:55 PM,5/11/13 3:55 PM,UCPD officers detained occupants of a vehicle wanted for investigation by Chicago Police / Turned over to CPD,Closed / CPD Case,C00532
Liquor Law Violation,5400 S. Drexel (Public Way),5/12/13 1:36 AM,5/12/13 1:36 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00531
Found Property,5900 S. University,5/12/13 12:03 PM,5/12/13 12:03 PM,Citizen found a shoulder bag on the public way / Inventoried for safekeeping by UCPD,Closed,C00533
Traffic Violation,6100 S. Stony Island,5/12/13 11:02 AM,5/12/13 11:02 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00534
Assist Other Agency,5200 S. Berkeley,5/12/13 1:24 PM,5/12/13 1:24 PM,UCPD officers detained a suspect wanted for a theft / Turned over to Chicago Police / CPD HW271145,Closed CPD Case,C00535
Traffic Violation,5500 S. Lake Park,5/12/13 8:28 PM,5/12/13 8:28 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00535
Warrant Arrest,6300 S. Dorchester,5/13/13 1:15 AM,5/13/13 1:15 AM,"UCPD officer arrested a man wanted for a warrant in Woodford County, IL",Arrest,C00537
Theft,5720 S. Ellis (Kersten Lab),5/13/13 11:55 AM,5/7/13 1:00 PM to 5:20 PM,Unattended wallet left in unsecure lab station taken by unknown person,Open,C00538
Information,5839 S. Maryland (Wyler Hospital),5/13/13 1:26 PM,5/10/13 5:30 PM,"Unknown person attempted to use physician's DEA number to obtain prescription medicine in Dolton, IL",Closed,C00539
Found Property,5815 S. Maryland (Mitchell Hospital),5/13/13 2:16 PM,5/13/13 1:30 PM,Staff member found envelope containing white powdery substance,Closed,C00540
Traffic Violation,5229 S. Woodlawn,5/13/13 8:09 PM,5/13/13 8:09 PM,"UCPD officer arrested a motorist for driving an unregistered, uninsured vehicle with a suspended driver's license",Arrest,C00541
Traffic Violation,6112 S. Cottage Grove,5/14/13 1:31 AM,5/14/13 1:31 AM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00542
Traffic Violation,5300 S. Cottage Grove,5/14/13 3:33 AM,5/14/13 3:33 AM,"UCPD officer arrested a motorist for driving an unregistered, uninsured vehicle with a suspended driver's license",Arrest,C00543
Traffic Violation,956 E. 54th St.,5/14/13 8:44 AM,5/14/13 8:44 AM,"UCPD officer arrested a motorist for driving an unregistered, uninsured vehicle without a valid driver's license",Arrest,C00544
Theft,5812 S. Ellis (Bike Rack),5/14/13 9:49 AM,5/14/13 9:15 AM to 9:40 AM,Unknown person took secured bicycle from bike rack,Open,C00545
Traffic Violation,5300 S. Woodlawn,5/14/13 10:57 PM,5/14/13 10:57 PM,UCPD officer arrested a motorist for driving with a suspended  driver's license,Arrest,C00546
Theft,5737 S. Ellis (Searle Lab),5/15/13 1:46 PM,4/15/13 to 4/30/13 12:00 PM to 12:00 PM,Unknown person took MacBook computer from a locked cabinet in the lab,Open,C00547
Theft,5550 S. University (Crown Field House),5/15/13 7:02 PM,5/15/13 6:00 PM to 7:00 PM,iPhone left unattended on the gym floor taken by an unknown person,Open,C00548
Theft from Person,Ellis between 55th & 56th,5/15/13 7:37 PM,5/15/13 7:30 PM,"Unknown male, riding a bicycle, snatched iPhone from the hand of victim walking on the sidewalk",Open,C00549
Traffic Violation,1700 E. 56th St.,5/15/13 7:42 PM,5/15/13 7:42 PM,UCPD officer cited a motorist for driving with a suspended driver's license,Closed,C00550
Lost Property,5550 S. University (Crown Field House),5/15/13 8:43 PM,5/15/13 6:30 PM to 8:00 PM,Man unable to locate his wallet,Closed,C00551
Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),5/15/13 9:43 PM,5/15/13 6:25 AM to 9:30 PM,Catalytic converter taken from vehicle parked on the 3rd floor of parking structure,Open,C00552
Criminal Damage to Property,6035 S. Blackstone (South Chiller Plant),5/16/13 9:03 AM,5/15/13 to 5/16/13 3:00 PM to 8:45 AM,Unknown person(s) broke glass panel on north side of building / Suspect identified by Investigative Services / Complainant declined to prosecute,Ex. Cleared,C00553
Lost Property,1100 E. 58th St. (Main Quad),5/16/13 1:22 PM,5/16/13 12:30 PM to 1:25 PM,iPhone lost in Quad area,Closed,C00554
Theft,1050 E. 59th St. (Wieboldt),5/16/13 3:56 PM,5/15/13 12:55 PM,Camera taken by unknown person,Open,C00555
Theft,1118 E. 58th St. (Eckhart),5/17/13 12:59 PM,5/9/13 to 5/17/13 10:30 AM to 12:50 PM,7 boxes of HP ink cartridges taken from secured supply closet / No sign of forced entry,Open,C00556
Injured Person,5736 S. Ellis (Searle),5/17/13 1:12 PM,5/17/13 1:00 PM,Man tripped on the stairs causing laceration to his head / Transported to ER by CFD EMS,Closed,C00557
Lost Property,5815 S. Maryland (Mitchell Hospital),5/17/13 7:36 PM,5/10/13 to 5/14/13 11:00 AM to 5:30 PM,Patient reported two cell phones missing,Closed,C00558
Lost Property,821 E. 56th St. (Stagg Field),5/17/13 8:28 PM,5/17/13 8:20 PM,Woman reported cell phone lost from her unzipped jacket pocket,Closed,C00559
Telephone Threats,Campus,5/18/13 4:25 PM,5/18/13 2:30 PM,Report of threatening phone calls received from an acquaintance,Open,C00560
Liquor Law Violation,1357 E. 56th St. (Public Way),5/19/13 12:42 AM,5/19/13 12:42 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00561
Traffic Accident,6054 S. Drexel,5/19/13 3:40 PM,5/19/13 3:40 PM,Property damage traffic accident / CPD HW281762,Closed,C00563
Void,Void,Void,Void,Number generated in error,Void,C00562
Information,5900 S. Dorchester,5/20/13 6:02 AM,5/20/13 6:02 AM,Man suffering chest pains transported to ER by CFD EMS,Closed,C00564
Assist Other Agency,5700 S. Cornell,5/20/13 4:20 PM,5/20/13 4:20 PM,UCPD officers stopped a vehicle with three occupants for a traffic violation / Suspects were wanted by CPD for an off-campus robbery that just occurred / Three subjects identified and arrested by CPD / HW283296,CPD Case,C00565
Lost Property,54th & Maryland to 6031 S. Ellis,5/20/13 7:15 PM,5/16/13 12:00 PM,Woman reported losing cell phone while walking between 54th & Maryland and 60th & Ellis,Closed,C00566
Aggravated Robbery,1116 E. 56th St.,5/20/13 8:50 PM,5/20/13 8:50 PM,"Unknown male, implying he had a weapon, took iPhone from victim walking on the sidewalk before fleeing to a vehicle waiting nearby / Two suspects arrested by UCPD",Arrest,C00567
Theft,6030 S. Ellis (Edelstone),5/21/13 10:27 AM,5/21/13 7:45 AM to 8:00 AM,Unattended iPhone taken from desk top in office,Open,C00568
Information,111 N. Wabash,5/21/13 12:29 PM,5/21/13 10:30 AM,Traffic crash report / CPD HW284233,Closed,C00569
No reports this date,,,,,,
Information,5747 S. University (Frat House),5/23/13 2:23 AM,5/23/13 2:23 AM,Individuals engaged in altercation at party / Peace restored,Closed,C00570
Theft,5706 S. University (Reynolds Club),5/23/13 2:39 PM,5/23/13 1:15 PM to 2:15 PM,Unattended messenger bag left in room 300 taken by an unknown person,Open,C00571
Theft,5706 S. University (Reynolds Club),5/23/13 3:51 PM,5/23/13 2:30 PM to 3:30 PM,Wallet taken from coat pocket / Subsequent unauthorized use of credit and debit cards reported,Open,C00572
No reports this date,,,,,,
Theft,5550 S. University (Crown Field House),5/25/13 2:38 PM,5/25/2013  1:30 PM to 2:00 PM,iPhone taken from unsecured locker,Open,C00573
Theft,5550 S. University (Crown Field House),5/25/13 2:13 PM,5/25/13 1:45 PM,Unattended iPhone and cash taken from area near the racquetball court,Open,C00574
Lost Property,5640 S. University (Bartlett Commons),5/26/13 5:39 PM,5/17/13 6:00 PM to 8:00 PM,Man reports losing his book bag containing a laptop computer,Closed,C00575
Lost Property,6031 S. Ellis (South Campus Res. Hall),5/27/13 12:11 PM,5/26/13 6:00 PM to 6:15 PM,Woman reports losing her wallet in the area of the South Campus Residence Hall,Closed,C00576
Criminal Damage to Property,1100 E. 58th St. (Ryerson),5/28/13 9:12 AM,5/23/13 to 5/28/13 4:30 PM to 9:00 AM,Vandalism in 1st floor washroom and room 251,Open,C00577
Void,Void,Void,Void,Number generated in error,Void,C00578
Theft,5758 S. Maryland (DCAM),5/28/13 11:42 AM,5/21/13 to 5/22/13 4:30 PM to 7:30 AM,Unattended watch taken from nurse's work station,Open,C00579
Lost Property,924 E. 57th St. (BSLC),5/28/13 1:01 PM,5/28/13 12:00 PM to 1:00 PM,Report of lost wallet,Closed,C00580
Theft,5812 S. Ellis (Surgery Brain Research),5/28/13 3:50 PM,5/28/13 2:45 PM to 2:50 PM,Unattended iPhone left in washroom taken by unknown person,Open,C00581
Information,Woodlawn between 52nd & 53rd,5/28/13 11:20 PM,5/28/13 11:10 PM,Report of a suspicious person in private apartment building off campus,Closed,C00582
Assist Other Agency,1355 E. 53rd St. (Nichols Park),5/29/13 12:00 PM,5/29/13 12:00 PM,UCPD officers detained three male subjects engaged in a fight / Turned over to CPD HW295307,CPD Case Closed,C00583
Theft,5445 S. Ingleside (MacLean House Bike Rack),5/29/13 11:36 AM,5/26/13 to 5/29/13 3:00 PM to 10:00 AM,Unknown person took secured bicycle from bike rack,Open,C00584
Traffic Violation,4915 S. Drexel,5/29/13 2:01 PM,5/29/13 2:01 PM,UCPD officer arrested a motorist for driving and uninsured vehicle with expired registration and a suspended driver's license,Arrest,C00585
Lost Property,5835 S. Kimbark (Lab School),5/29/13 3:11 PM,5/17/13 12:00 PM to 4:00 PM,Woman believes she lost her wristwatch in the Lab School building,Closed,C00586
Deceptive Practice,5630 S. University (Max Palevsky),5/29/13 6:57 PM,5/29/13 6:57 PM,Individual reported unknown person used his email address to commit fraud,Open,C00587
Information,1116 E. 59th St. (Harper),5/30/13 8:27 AM,5/30/13 6:00 AM to 8:20 AM,Unknown person(s) affixed pictures to statue on 2nd floor,Closed,C00588
Theft,5505 S. Ellis (Parking Structure),5/30/13 11:11 AM,5/7/13 7:30 AM to 3:00 PM,Unknown person took coins from a parked vehicle,Open,C00589
Assist Other Agency,5200 S. Dorchester,5/30/13 5:28 PM,5/30/13 5:28 PM,UCPD officers detained two suspects off campus who had taken a victim's hat and attempted to take her wallet / Turned over to CPD HW297330,CPD Case,C00590
Theft,1100 E. 57th St. (Regenstein Bike Rack),5/30/13 8:04 PM,5/30/13 9:00 AM to 8:00 PM,Unknown person took secured bicycle from bike rack,Open,C00591
Theft,5815 S. Maryland (Mitchell Hospital),5/30/13 11:44 PM,5/30/13 6:30 PM to 11:40 PM,Unattended raincoat taken from room / Coat found on 5/31/13 no theft involved,Unfounded,C00592
Information,5757 S. University (Construction Site),5/31/13 2:14 AM,5/31/13 2:14 AM,3 males observed climbing onto scaffolding / Warned not to trespass,Closed,C00593
Criminal Damage to Vehicle,1362 E. 59th St.,5/31/13 11:44 AM,5/29/13 7:20 AM to 3:00 PM,Passenger's side window of car parked on the street smashed by unknown person,Open,C00594
Theft,5700 S. Maryland (CCD),5/31/13 6:26 PM,5/31/13 10:00 AM to 3:30 PM,Unattended cell phone taken from patient's room,Open,C00595
Traffic Accident,5207 S. Ingleside,5/31/13 11:31 PM,5/31/13 11:21 PM,Traffic Crash report CPD HW299240,Closed,C00596
Theft,5020 S. Cornell (H.P. Art Center),6/1/13 6:47 AM,6/1/13 5:30 AM to 6:00 AM,Unattended iPhone take by unknown person,Open,C00597
Theft,5514 S. University (Pierce Bike Rack),6/1/13 2:59 PM,6/1/13 6:00 AM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,C00598
Assist Other Agency,1436 E. Midway Pl.,6/2/13 3:01 AM,6/2/13 3:01 AM,UCPD officer apprehended a suspect who was fleeing from Chicago Police / Turned over to CPD,CPD Case / Arrest,C00599
Information,5514 S. University (Pierce Hall),6/2/13 5:24 AM,6/2/13 5:24 AM,Three individuals were observed in restricted area on the roof of the building / Referred,Referred,C00600
Theft,947 E. 58th St. (Abbott Research),6/3/13 9:17 AM,5/20/13 10:00 AM,Unattended wallet left on desk in unsecured office taken by an unknown person / Subsequent attempted use of credit cards reported,Open,C00601
Lost Property,5835 S. Greenwood (Stuart Hall),6/3/13 11:29 AM,6/3/13 10:20 AM to 10:35 AM,Man reports misplacing his cell phone while in Stuart Hall,Closed,C00602
Aggravated Assault,5514 S. Blackstone (Blackstone Villa),6/3/13 10:04 PM,5/21/13 3:00 AM,Tenant of apartment building threatened another tenant with bodily harm while holding a knife in his hand / Victim refused to prosecute known suspect,Ex. Cleared / Closed,C00603
Theft,5532 S. Kenwood (Sylvan Arms),6/4/13 1:12 PM,5/30/13 to 5/31/13 6:00 PM to 9:00 AM,Unknown person took secured bicycle from bike rack,Open,C00604
Assault,5514 S. Blackstone (Blackstone Villa),6/4/13 4:08 PM,5/31/13 2:20 PM,Tenant kicked door of another tenant and yelled at him placing the victim in fear of receiving bodily harm / Victim refused to prosecute known suspect,Ex. Cleared / Closed,C00605
Information,5100 S. East End,6/4/13 4:44 PM,6/4/13 3:55 PM,Unknown male snatched cell phone from the hand of a man standing at a bus stop off campus / CPD case HW304344,CPD Case,C00606
Theft,5815 S. Maryland (Mitchell Hospital),6/4/13 6:23 PM,6/3/13 to 6/4/13 1:00 PM to 3:30 AM,Unknown person took cell phone from the pocket of a hospital gown in patient's room,Open,C00607
Battery,915 E. 60th St.,6/4/13 8:29 PM,6/4/13 8:29 PM,Young unknown male riding a bicycle slapped victim on the face with open hand as he rode past,Open,C00608
Burglary,6005 S. Woodlawn (Vacant Building),6/5/13 9:23 AM,5/28/13 to 6/4/13 9:00 AM to 10:00 AM,Unknown person(s) forced entry to building taking plumbing fixtures,Open,C00609
Damage to Property / Fire,1108 E. 57th St. (Erman Biology),6/5/13 6:06 PM,6/5/13 6:00 PM,Electrical fire in computer equipment extinguished by staff using a fire extinguisher / CFD on scene,Closed,C00610
Assist Other Agency,820 E. 63rd St.,6/6/13 12:35 AM,6/6/13 12:35 AM,UCPD officer found an unattended vehicle that had been reported stolen to CPD / CPD case HW303472,CPD Case,C00611
Theft,5530 S. Ellis (Ratner A.C. Bike Rack),6/6/13 10:35 AM,6/6/13 7:00 AM to 10:00 AM,Unknown person took secured bicycle from bike rack,Open,C00612
Information,5625 S. University (Frat House),6/6/13 2:20 PM,6/6/13 2:20 PM,U.S. P.S. mail carrier provided information to police,Closed,C00613
Injured Person,1131 E. 57th St. (Public Way),6/6/13 3:14 PM,6/6/13 3:10 PM,"Person fell while stepping off of the curb, fell injuring both knees and left arm / Transported to ER by CFD EMS",Closed,C00614
Theft,6025 S. Ellis (BJ Bike Rack),6/6/13 5:50 PM,6/6/13 1:30 AM to 5:30 PM,Unknown person took secured bicycle from bike rack,Open,C00615
Battery,Ingleside between 60th & 61st,6/6/13 8:41 PM,6/6/13 8:15 PM,Two unknown males pushed a man to the ground and fled on bicycles,Open,C00616
Information,5300 S. Hyde Park,6/7/13 12:28 PM,6/7/13 12:15 PM,Man snatched phone from the hand of a man standing at a bus stop off campus  and fled on foot / CPD case HW308358,CPD Case,C00617
Theft,5706 S. University (Reynolds Club),6/8/13 1:45 PM,6/7/13 7:00 PM to 9:30 PM,Unknown person took laptop computer from desk in secured office,Open,C00618
Information,Ellis Between 53rd & 54th,6/9/13 4:44 PM,6/9/13 4:43 PM,Unknown male subject snatched cell phone from the hand of a victim sitting on a porch of apartment building off campus / CPD case,CPD Case,C00619
Warrant Arrest,5300 S. University,6/9/13 9:07 PM,6/9/13 9:07 PM,UCPD officers arrested a man wanted on a warrant from Cook County,Arrest,C00620
Injured Person,6000 S. Ellis (Public Way),6/10/13 1:24 PM,6/10/13 1:24 PM,Woman fell off of her bicycle striking her head on the pavement / Transported to ER by CFD EMS,Closed,C00621
Theft,5555 S. Ellis (Bike Rack),6/10/13 1:44 PM,6/7/13 to 6/10/13 11:00 AM to 1:44 PM,Bicycle secured to bike rack taken by unknown person,Open,C00622
Theft,5835 S. Kenwood (Lab School Bike Rack),6/10/13 2:49 PM,6/10/13 8:30 AM to 2:00 PM,Unknown person took bicycle secured to bike rack,Open,C00623
Lost Property,5706 S. University (Reynolds Club),6/10/13 5:07 PM,6/8/13 2:40 PM to 9:15 PM,Woman lost ring in washroom in Reynolds Club,Closed,C00624
Theft,1212 E. 59th St. (Ida Noyes),6/11/13 12:51 AM,6/10/13/ to 6/11/13 11:15 PM to 12:30 AM,Unattended purse left on table in first floor lounge taken by unknown person,Open,C00625
Theft from Motor Vehicle,5501 S. Cottage Grove,6/11/13 9:43 AM,6/10/13 7:00 AM to 5:00 PM,Unknown person took catalytic converter from motor vehicle parked on the street,Open,C00626
Theft,5700 S. Maryland (CCD),6/11/13 11:01 AM,6/11/13 9:00 AM to 11:00 AM,Wallet taken from unattended coat left in unsecured room,Open,C00627
Theft,6031 S. Ellis (SCRH Bike Rack),6/11/13 4:40 PM,6/10/13 to 6/11/13 5:30 PM to 4:00 PM,Unknown person took secured bicycle from bike rack,Open,C00628
Theft,1212 E. 59th St. (Ida Noyes),6/12/13 10:05 AM,4/20/13 to 5/1/13 11:00 AM to 11:00 AM,Laptop computer taken from desk in room 202,Open,C00629
Theft,5530 S. Ellis (Ratner A.C.),6/12/13 11:01 AM,6/12/13 10:20 AM to 10:55 AM,Book bag left unattended in cupboard taken by unknown person / Property has been located / No theft involved,Unfounded,C00630
Theft,5811 S. Ellis (Cobb Hall),6/12/13 11:29 AM,6/11/13 to 6/12/13 3:30 PM to 9:30 AM,Bicycle secured to bike rack taken by unknown person,Open,C00631
Theft,5815 S. Maryland (Mitchell Hospital),6/12/13 3:16 PM,6/12/13 2:45 PM to 2:55 PM,"iPhone, left unattended in public area, taken by unknown person",Open,C00632
Battery,Dorchester between 52nd & 53rd,6/12/13 2:53 PM,6/12/13 2:45 PM,Individual arrested for pushing and obstructing a UCPD officer while officer was attempting to arrest another person,Arrest,C00633
Information,54th Pl. between Greenwood & University,6/12/13 8:09 PM,6/12/13 5:00 PM to 7:15 PM,Unknown person(s) entered off-campus residence and took property / No sign of forced entry,CPD Case,C00634
Theft,5640 S. University (Bartlett Commons),6/13/13 1:23 PM,5/12/13 to 5/22/13 12:01 AM to 11:59 PM,Unknown person(s) took three pieces of art that had been on display in the main lobby,Open,C00635
Unlawful Use of Weapon,Ingleside between 61st & 62nd,6/13/13 3:08 PM,6/13/13 3:08 PM,UCPD officers arrested three male suspects for unlawful use of a weapon / Handgun recovered,Arrest,C00636
Information,University between 56th & 57th,6/13/13 8:09 PM,6/13/13 8:09 PM,Information relating to the receipt of email messages,Open,C00637
Information,Kimbark between 53rd & 54th,6/13/13 10:39 PM,6/13/13 10:39 PM,Information as to the well-being of an individual / CPD case HW317770,CPD Case,C00638
Theft,5530 S. Ellis (Ratner A.C.),6/14/13 6:54 AM,6/13/13 to 6/14/13 3:00 PM to 6:30 AM,Unknown person took gym shoes from an unsecured locker,Open,C00639
Information,5514 S. Blackstone (Blackstone Villa),6/14/13 9:24 AM,6/14/13 9:24 AM,UCPD checked on well-being of a tenant,Closed,C00640
Lost Property,5530 S. Ellis (Ratner A.C.),6/14/13 4:43 PM,6/13/13 to 6/14/13 9:00 PM to 12:00 PM,Man reports losing state I.D. card and debit card / Last seen while in Ratner A.C.,Closed,C00641
Information,Hyde Park between 55th & 56th,6/15/13 5:12 AM,6/15/13 5:10 AM,Two unknown males forcibly took purse and cell phone from a victim walking on the sidewalk off campus / CPD case HW319491,CPD Case,C00642
Information,1005 E. 60th St. (Burton Judson),6/15/13 5:37 AM,6/15/13 5:37 AM,Ill person transported to ER by CFD EMS,Closed,C00643
Injured Person,1111 E. 60th St. (Law School),6/15/13 10:18 AM,6/15/13 10:10 AM,"Woman lost balance, fell against window in lobby / Transported to ER by CFD EMS",Closed,C00644
Assist Other Agency,6134 S. Cottage Grove,6/15/13 11:56 AM,6/15/13 11:36 AM,UCPD officer apprehended a suspect wanted for a robbery / Turned over to CPD / CPD case HW319890,CPD Case,C00645
Found Property,1330 E. 53rd St. (Alley),6/15/13 1:10 PM,6/15/13 1:10 PM,Set of keys found in the alley turned over to UCPD for safekeeping,Closed,C00646
Information,University between 61st & 62nd,6/15/13 7:08 PM,6/14/13 to 6/15/13 10:30 AM to 6:00 PM,Wheel taken from bicycle secured to a fence off campus / CPD case,CPD Case,C00647
Found Property,6031 S. Ellis (SCRH),6/15/13 9:36 PM,6/15/13 9:36 PM,Suspect controlled substance found and inventoried at UCPD,Closed,C00648
Theft,5514 S. University (Pierce),6/16/13 2:31 PM,6/13/13 4:00 PM to 8:00 PM,Laptop computer left unattended in 6th floor lounge was taken by unknown person,Open,C00649
Information,Ellis between 61st & 62nd,6/17/13 6:07 AM,6/17/13 4:15 AM to 4:45 AM,Unknown persons entered private apartment off campus via an unlocked door and took property / CPD case,CPD Case,C00650
Traffic Violation,5100 S. Cottage Grove,6/17/13 9:18 AM,6/17/13 9:18 AM,"UCPD officer arrested a motorist for driving an unregistered, uninsured motorcycle with a suspended driver's license",Arrest,C00651
Information,5454 S. Shore (Shoreland Construction Site),6/16/13 7:23 AM,6/16/13 7:21 AM,Man fell through roof of building causing injury to both legs / Transported to ER by CFD EMS / CPD case HW320929,CPD Case,C00653
Information,901 E. 58th St. (Mitchell ER),6/17/13 3:05 PM,6/14/13 to 6/15/13 6:00 PM to 6:00 PM,Patient reports she sustained injury to her knee while attempting to leave ER,Closed,C00652
Theft,5841 S. Maryland (Wyler),6/17/13 3:32 PM,5/22/13 to 6/13/13 11:00 AM to 2:30 PM,Envelope with cash taken from unsecured desk drawer,Open,C00654
Unlawful Possession of a Weapon,5500 S. Lake Park,6/17/13 6:44 PM,6/17/13 6:44 PM,UCPD officers arrested a male subject for possession of an air pistol,Arrest,C00655
Assist Other Agency,5400 South Shore Dr.,6/18/13 10:40 AM,6/18/13 10:40 AM,"UCPD officers assisted CPD in attempt to apprehend a male subject who crashed a stolen vehicle and stole a second vehicle in an attempt to elude police / CPD cases HW315901, HW324307",CPD Case,C00656
Information,1520 E. 56th St. (Metra Platform),6/18/13 6:20 PM,6/18/13 6:20 PM,Unknown female snatched iPhone from the hand of a woman on the Metra platform and fled on foot / Metra / CPD case,Metra/CPD Case,C00657
Damage to Vehicle,5505 S. Ellis (Parking Structure),6/18/13 6:53 PM,6/18/13 8:15 PM to 6:45 PM,Owner reports parked vehicle sustained a long scratch on the driver's side,Closed,C00658
Information,901 E. 58th St. (Mitchell ER),6/18/13 8:13 PM,6/18/13 8:13 PM,Woman reported domestic battery incident that occurred on North Side of Chicago / CPD case HW325125,CPD Case,C00659
Public Indecency,5514 S. University (Pierce),6/19/13 10:39 AM,6/19/13 10:30 AM,Unknown male lewdly exposed himself in men's washroom,Open,C00660
Information,Dorchester between 56th & 57th,6/19/13 10:43 AM,6/18/13 to 6/19/13 9:00 PM to 9:00 PM,Victim reports receiving threatening telephone calls / CPD case,CPD Case,C00661
Theft,5823 S. Kenwood (Lab School),6/19/13 1:05 PM,6/19/13 11:25 AM to 12:10 PM,Bag containing iPhone and watch taken by unknown person,Open,C00662
Theft,950 E. 59th St. (Billings),6/19/13 5:09 PM,6/19/13 9:00 AM to 4:00 PM,"Wallet, iPad and iPhone taken from secured location in office",Open,C00663
Assist Other Agency,1520 E. 57th St. (Metra Platform),6/19/13 6:37 PM,6/19/13 6:37 PM,UCPD officers detained two individuals who were turned over to Metra Police and charged with trespass to property / Metra case 13-018268,Metra Case,C00664
Information,Woodlawn between 54th & 55th,6/19/13 8:34 PM,6/19/13 7:30 PM to 8:00 PM,Bicycle taken from rear porch of private apartment building off campus / CPD case,CPD Case,C00665
Information,54th Pl. between University & Woodlawn,6/20/13 8:28 AM,6/20/13 8:10 AM,Unknown male entered private apartment off campus by removing a screen and opening an unsecured window / Fled when confronted by occupant /  CPD case HW327047,CPD Case,C00666
Burglary,1307 E. 60th St. (New Graduate Res. Hall),6/20/13 9:26 AM,6/19/13 5:30 PM to 6:30 PM,Unknown person entered unsecured room and took $520 cash from desk top,Open,C00667
Theft,5530 S. Ellis (Ratner A.C.),6/20/13 11:15 AM,6/13/13 to 6/20/13 7:00 AM to 7:00 AM,18-aluminum bleacher posts taken by unknown person(s),Open,C00668
Theft,5530 S. Ellis (Ratner A.C.),6/20/13 10:46 AM,6/19/13 to 6/20/13 10:30 AM to 10:30 AM,Electric razor taken from unsecured locker,Open,C00669
Theft,956 E. 58th St. (Ingleside Hall),6/20/13 2:22 PM,6/20/13 1:30 PM to 2:00 PM,Unattended book bag containing laptop computer and passport taken from steps of building by unknown person,Open,C00670
Injured Person,5500 S. University (Public Way),6/21/13 11:12 AM,6/21/13 11:10 AM,Man pushing a wheeled plastic container of supplies fell when wheel of container struck a hole in the sidewalk / Transported to ER by CFD EMS,Closed,C00671
Domestic Battery,5758 S. Maryland (DCAM),6/21/13 1:22 PM,6/21/13 1:15 PM,Husband battered wife in workplace / Suspect fled prior to police arrival / Victim provided with victim assistance information / Victim refused to prosecute,Ex. Cleared,C00672
Theft,5807 S. Woodlawn (Booth School),6/21/13 3:30 PM,6/21/13 10:00 AM to 3:30 PM,Bicycle secured to a railing taken by unknown person / Bike relocated by Facilities not stolen,Unfounded,C00673
Information,5305 S. Kimbark (Neighborhood Property),6/22/13 11:58 AM,6/21/13 to 6/22/13 11:00 PM to 11:20 AM,Window broken / Cause unknown,Closed,C00675
Battery,901 E. 58th St. (Mitchell ER),6/23/13 6:03 AM,6/23/13 6:03 AM,Staff member slapped while treating patient / Declined to sign complaint,Ex. Cleared,C00676
Information,Ellis between 54th & 55th,6/23/13 12:58 PM,6/23/13 12:55 PM,"Two men, one armed with a handgun, took property from a victim walking on the sidewalk off campus",CPD Case,C00677
Information,5514 S. Blackstone (Blackstone Villa),6/24/13 10:48 AM,6/24/13 10:45 AM,Property manager discovered vacated apartment full of trash and observed dead animals / City Dept. of Animal Care & Control notified,Closed,C00678
Lost Property,860 E. 59th St. (Goldblatt),6/24/13 2:52 PM,6/5/13/ to 6/24/13 3:30 PM to 2:00 PM,Man reports misplacing his backpack,Closed,C00679
Injured Person,5530 S. Ellis (Ratner A.C.),6/24/13 5:20 PM,6/24/13 5:00 PM,Man playing basketball fell to the floor lacerating his chin / Transported to ER by CFD EMS,Closed,C00680
Damage to Property,1111 E. 60th St. (Law School),6/24/13 6:14 PM,6/24/13 6:10 PM,During a storm a large metal air handler and tiles were blown from the roof of the building into the reflecting pool in the courtyard,Closed,C00681
Information,Ellis between 54th & 55th,6/24/13 11:37 PM,6/24/13 11:30 PM,Two unknown males forcibly took the property of a man walking on the sidewalk off campus / CPD case HW333953,CPD Case,C00682
Theft,5730 S. Ellis (Crerar Library),6/25/13 4:57 PM,6/25/13 1:00 PM to 1:30 PM,Wallet taken from unattended book bag,Open,C00683
Burglary,6021 S. Kimbark (UC Apartment Bldg.),6/26/13 8:40 AM,6/25/13 to 6/26/13 10:00 PM to 8:00 AM,Unknown person forced entry to basement of apartment building and took bicycle from storage room,Open,C00684
